title,condition,price,sold_date,num_bids,buy_it_now,best_offer
Shop on eBay,Brand New,$20.00,,,Yes,No
Genuine Oakley Men's OO9343 M2 Frame XL Polarized Sunglasses Matte Black/Prizm,Brand New,$175.00,"Sold  Dec 10, 2023Sold Item",,No,Yes
Oakley M Frame Sunglasses,Pre-Owned,$72.85,"Sold  Dec 10, 2023Sold Item",12 bids,No,No
OAKLEY M2 FRAME XL OO 9343-19 Matte Black / Prizm Black Polarized Sunglasses,New (Other),$109.99,"Sold  Dec 10, 2023Sold Item",,Yes,No
Vintage OAKLEY M Frame Sunglasses MADE IN USA Silver Frame Black Lens Raiders,Pre-Owned,$94.99,"Sold  Dec 10, 2023Sold Item",,Yes,No
Oakley M Frame Men's Wrap Sunglasses - vintage used,Pre-Owned,$87.00,"Sold  Dec 10, 2023Sold Item",22 bids,No,No
New ListingVINTAGE 90s OAKLEY Sunglasses Bundle Lot M Frame,Pre-Owned,$149.00,"Sold  Dec 10, 2023Sold Item",1 bid,No,No
"Oakley ""New"" M frame blue",Pre-Owned,$75.00,"Sold  Dec 10, 2023Sold Item",1 bid,No,No
Oakley M Frame Sunglasses,Pre-Owned,$41.00,"Sold  Dec 10, 2023Sold Item",10 bids,No,No
RARE COLOR Oakley M Frames Pro Polished Aluminum/G30 Iridium Strike,Pre-Owned,$150.00,"Sold  Dec 10, 2023Sold Item",,No,Yes
New ListingOakley SI M FRAME 2.0 Glasses Z87 Matte Black Lenses Scratched,Pre-Owned,$24.99,"Sold  Dec 10, 2023Sold Item",,Yes,No
Oakley SI Ballistic M Frame 2.0 Strike Safety Shooting Glasses Kit,Pre-Owned,$49.99,"Sold  Dec 10, 2023Sold Item",,Yes,No
Galaxy Replacement Lens For Oakley Si Ballistic M Frame 3.0 Z87 Multi-Selection,New (Other),$5.88 to $20.98,"Sold  Dec 10, 2023Sold Item",,Yes,No
New ListingVINTAGE 90s OAKLEY Sunglasses Bundle Lot  M Frame,Pre-Owned,$149.00,"Sold  Dec 9, 2023Sold Item",,Yes,No
OAKLEY M-FRAME OO 11-162 Matte Black / Grey Shield Sunglasses NWT AUTH,Brand New,$89.99,"Sold  Dec 9, 2023Sold Item",,Yes,No
Oakley M Frame Pro Matte Black - Frame Only - NEAR MINT,Pre-Owned,$119.99,"Sold  Dec 9, 2023Sold Item",,No,Yes
Oakley M frame heater carbon fiber like frames + new grey lens REDUCED 20$,Pre-Owned,$155.00,"Sold  Dec 9, 2023Sold Item",,No,Yes
Oakley M2 Frame Men's Wrap Sunglasses Men’s Pre Owned,Pre-Owned,$39.99,"Sold  Dec 9, 2023Sold Item",,Yes,No
Oakley M2 Frame XL Sunglasses OO9343-05 Polished White Frame Fire Iridium Lenses,Pre-Owned,$50.00,"Sold  Dec 9, 2023Sold Item",3 bids,No,No
Galaxy Replacement Clip Rubber Kit For Oakley Si Ballistic M Frame 2.0 3.0 Black,New (Other),$7.97,"Sold  Dec 9, 2023Sold Item",,Yes,No
NEW OAKLEY SI Ballistic Sun Glasses M Frame 2.0 Array Strike Clear & Gray APEL,Brand New,$89.99,"Sold  Dec 9, 2023Sold Item",,Yes,No
Oakley M2 Frame 0OO9212 Sunglasses Polished Black IRIDIUM Sports,Brand New,$89.97,"Sold  Dec 9, 2023Sold Item",,Yes,No
